year,doy,hour,mean,std
2014,191,9,-0.319032,-0.079758
2014,254,14,-0.0378,-0.00945
2014,294,11,-0.004752,-0.001188
2014,338,9,0.030672,0.007668
2015,99,8,-0.011232,-0.002808
2015,169,7,-0.085968,-0.021492
2015,202,8,-0.227232,-0.056808
2015,283,10,-0.131112,-0.032778
2016,83,10,-0.005868000000000001,-0.0014670000000000002
2016,83,11,-0.0244512,-0.0061128
2016,134,8,-0.074304,-0.018576
2016,168,8,-0.266112,-0.066528
2016,200,11,-0.3177668571428572,-0.0794417142857143
2016,252,10,-0.1696525714285714,-0.04241314285714285
2016,292,8,-0.123984,-0.030996
2016,342,7,-0.003416727272727273,-0.0008541818181818183
2017,109,13,-0.022752,-0.005688
2017,125,8,-0.1378697142857143,-0.03446742857142857
2017,171,10,-0.1568592,-0.0392148
2017,200,11,0.029616,0.007404
2017,262,11,-0.0496368,-0.0124092
2018,108,8,-0.021648,-0.005412
2018,131,7,-0.0216,-0.0054
2018,131,8,-0.007848000000000003,-0.0019620000000000006
2018,159,10,0.037368,0.009342
2018,159,11,-0.053712,-0.013428
2018,213,11,-0.191904,-0.047976
2018,261,12,-0.06436800000000001,-0.016092000000000002
2019,114,8,-0.068904,-0.017226
2019,155,9,-0.096912,-0.024228
2019,199,10,-0.2338848,-0.0584712
2019,231,10,-0.19008,-0.04752
2021,112,8,-0.022464,-0.005616
2021,138,8,-0.043254,-0.0108135
2021,174,7,-0.4002171428571429,-0.10005428571428572
2021,201,12,-0.03937371428571429,-0.009843428571428572
2021,235,7,-0.31932,-0.07983
2021,265,8,-0.244224,-0.061056
2021,299,8,-0.0936,-0.0234
