year,doy,hour,mean,std
2016.0,128.0,24,5.9616,1.9989742568172761
2016.0,159.0,24,4.043519999999999,1.9839320286123328
2016.0,230.0,24,8.087040000000002,1.9592253234192523
2017.0,169.0,24,7.7972676923076945,5.0553307963353316
2017.0,173.0,24,5.786921739130433,4.014359602063355
2017.0,176.0,24,6.8121991836734725,4.410926753799113
2017.0,179.0,24,7.22304,5.290728532971617
2017.0,225.0,24,7.7990400000000015,4.532063948337321
2017.0,229.0,24,8.500691134020617,6.049613517905483
2017.0,233.0,24,6.064734315789472,3.959264730570255
