year,doy,hour,mean,std
2014,191,10,-0.06436800000000001,-0.016092000000000002
2014,254,7,-0.149472,-0.037368
2014,295,8,-0.07387200000000001,-0.018468000000000002
2014,295,9,-0.081216,-0.020304
2015,169,10,-0.106272,-0.026568
2015,202,10,-0.05918400000000001,-0.014796000000000002
2015,202,11,0.003456,0.000864
2015,252,10,-0.258768,-0.064692
2015,283,10,-0.124416,-0.031104
2015,283,11,-0.12096,-0.03024
2016,82,9,-0.0205632,-0.0051408
2016,82,10,0.001512000000000002,0.0003780000000000005
2016,134,12,-0.183384,-0.045846
2016,168,9,-0.0864,-0.0216
2016,201,12,0.120288,0.030072
2016,252,7,-0.127392,-0.031848
2016,292,11,-0.0863136,-0.0215784
2016,292,12,-0.016848,-0.004212
2016,341,9,-0.033888,-0.008472
2017,109,10,-0.0484704,-0.0121176
2017,124,10,-0.059328,-0.014832
2017,124,11,-0.0854496,-0.0213624
2017,172,7,-0.1475712,-0.0368928
2017,199,6,-0.03265920000000001,-0.008164800000000003
2017,262,8,0.118584,0.029646
2017,298,9,-0.06206400000000001,-0.015516000000000002
2017,298,10,-0.120096,-0.030024
2017,312,8,0.0027456,0.0006864
2018,131,11,0.0744768,0.0186192
2018,160,7,0.1426032,0.0356508
2018,214,8,-0.011124,-0.002781
2018,262,7,0.1186429090909091,0.029660727272727276
2019,113,9,-0.08263542857142858,-0.020658857142857145
2019,155,11,0.054,0.0135
2019,155,12,0.075312,0.018828
2019,197,9,-0.0139968,-0.0034992
2019,231,13,0.11664,0.02916
2021,138,11,0.149256,0.037314
2021,173,11,0.0553824,0.0138456
2021,201,8,0.25632,0.06408
2021,299,11,0.08433415384615385,0.021083538461538463
