year,doy,hour,mean,std
2015,149,23,0.0808889403432763,0.0
2015,164,23,0.023205224975613,0.0
2015,174,23,0.0309202761632892,0.0
2015,212,23,0.0041973045021193,0.0
2015,226,23,0.0225008138660483,0.0
2015,240,23,0.8113116857408235,1.3041377222843749
2015,248,23,0.0074712803798104,0.0
2015,291,23,0.0025968013235293,0.0
2016,157,23,0.2661010532772445,0.0
2016,182,23,0.0930381448741065,0.0
2016,202,23,0.0372572709184345,0.0
2016,230,23,0.1155792633825345,0.0026485575007162
2016,279,23,0.2214585582100123,0.0057600115448051
2016,297,23,0.02852876649885,0.0
2017,146,23,0.0610178269193395,0.0
2017,158,23,0.0195113026767987,0.0
2017,182,23,0.0658193100376442,0.0007331916596431
2017,218,23,0.0025512452672943,1.233743191106722e-05
2017,252,23,0.0139604777782499,2.5402886966372248e-05
2017,276,23,0.009651143823744,0.0
2018,143,23,0.0005560669340363,2.0149002751272363e-08
2018,183,23,0.0014753562857138,0.0
2018,206,23,0.0033278633732871,0.0
2019,160,23,0.032182637135897,5.2116361243813965e-06
2019,228,23,0.0091601417779312,1.225150499275804e-06
2020,177,23,0.3843619665314539,0.149544935532245
2020,226,23,0.0053434105983986,0.0
2021,151,23,0.0071890927267331,6.630270187147416e-06
2021,192,23,0.1546371987407458,0.0364203500137685
2021,217,23,0.0416254634872656,8.207083153734876e-05
2021,234,23,0.0026327097028108,1.073003701987688e-05
