year,doy,hour,mean,std
2011,54,23,482.3903413882824,120.5975853470706
2012,52,23,519.7273307469688,129.9318326867422
2013,51,23,525.0566368553605,131.26415921384012
2014,56,23,567.206892863548,141.801723215887
2015,62,23,614.4595612990643,153.6148903247661
2016,61,23,614.4347423007828,153.6086855751957
2017,59,23,660.6634446953757,165.16586117384392
2018,58,23,698.2107105706843,174.55267764267109
2019,57,23,732.0672401746762,183.01681004366904
2020,57,23,797.7156433879928,199.4289108469982
2021,59,23,886.7042773700615,221.67606934251535
