year,doy,hour,mean,std
2014,167,10,0.5698080000000001,0.5
2014,190,14,0.6400080000000001,0.5
2015,98,13,0.028512000000000003,0.5
2015,169,10,0.378504,0.5
2015,202,14,0.4926960000000001,0.5
2015,283,14,0.235008,0.5
2015,324,13,0.033696000000000004,0.5
2016,82,14,0.08971199999999999,0.5
2016,134,8,0.12864,0.5
2016,134,9,0.21535200000000002,0.5
2016,168,13,0.5667840000000001,0.5
2016,201,12,0.564624,0.5
2016,252,8,0.256518,0.5
2016,292,12,0.396576,0.5
2016,292,13,0.473328,0.5
2016,341,10,0.037692,0.5
2017,109,11,0.14907600000000001,0.5
2017,144,11,0.226944,0.5
2017,171,14,0.412452,0.5
2017,200,7,0.44668800000000003,0.5
2017,200,8,0.408744,0.5
2017,262,12,0.39027600000000007,0.5
2017,311,13,0.06321600000000001,0.5
2018,108,12,0.052488,0.5
2018,131,10,0.12722400000000003,0.5
2018,131,11,0.173016,0.5
2018,160,8,0.15458400000000003,0.5
2018,214,9,0.379368,0.5
2018,262,8,0.227232,0.5
2019,113,13,0.178416,0.5
2019,155,12,0.916776,0.5
2019,155,13,0.438912,0.5
2019,197,12,0.44064,0.5
2019,231,14,0.6463800000000001,0.5
2021,112,11,0.11177279999999999,0.5
2021,138,12,0.1836,0.5
2021,173,12,0.3497471999999999,0.5
2021,201,8,0.08879040000000003,0.5
2021,266,8,0.23943600000000004,0.5
2021,299,12,0.202176,0.5
