year,doy,hour,mean,std
2014,167,8,-0.323568,-0.080892
2014,190,12,-0.272808,-0.068202
2014,254,8,-0.130608,-0.032652
2014,294,12,-0.038016,-0.009504
2014,294,13,-0.072144,-0.018036
2015,98,11,0.005184,0.001296
2015,169,8,-0.227556,-0.056889
2015,202,12,-0.19764,-0.04941
2015,283,12,-0.09892799999999999,-0.024731999999999997
2015,324,11,-0.031536,-0.007884
2016,82,12,-0.0229536,-0.0057384
2016,134,6,-0.0529789090909091,-0.013244727272727274
2016,134,7,-0.051138,-0.0127845
2016,168,11,-0.1836,-0.0459
2016,201,10,-0.09259200000000001,-0.023148000000000002
2016,252,6,-0.1011744,-0.0252936
2016,292,10,-0.2366496,-0.0591624
2016,292,11,-0.1907712,-0.0476928
2016,341,8,-0.005399999999999999,-0.0013499999999999999
2017,109,9,-0.066048,-0.016512
2017,124,9,-0.0492912,-0.0123228
2017,171,12,-0.1483488,-0.0370872
2017,200,5,-0.111816,-0.027954
2017,200,6,-0.1951776,-0.0487944
2017,262,10,-0.1433808,-0.0358452
2017,311,11,-0.0290736,-0.0072684
2018,108,10,0.032778,0.0081945
2018,131,8,-0.00648,-0.00162
2018,131,9,-0.03672,-0.00918
2018,160,6,0.035424,0.008856
2018,214,7,-0.1352592,-0.0338148
2018,262,6,-0.09126000000000001,-0.022815000000000002
2019,113,11,-0.0513216,-0.0128304
2019,155,10,-0.2240352,-0.0560088
2019,155,11,-0.175824,-0.043956
2019,197,10,-0.189432,-0.047358
2019,231,12,-0.288288,-0.072072
2021,112,9,-0.026784,-0.006696
2021,138,10,-0.007344,-0.001836
2021,173,10,-0.1439424,-0.0359856
2021,201,6,0.1102217142857143,0.027555428571428574
2021,266,6,-0.112266,-0.0280665
2021,299,10,-0.108,-0.027
