year,doy,hour,mean,std
2014,167,6,0.20844,0.05211
2014,190,10,0.286848,0.071712
2014,224,7,0.275184,0.068796
2014,254,10,0.096336,0.024084
2014,254,11,0.044496,0.011124
2014,295,11,0.07300800000000002,0.018252000000000004
2015,98,10,0.019872,0.004968
2015,169,11,0.197424,0.049356
2015,202,6,0.149472,0.037368
2015,202,7,0.189648,0.047412
2015,252,7,0.127008,0.031752
2015,252,8,0.135648,0.033912
2015,284,8,0.167616,0.041904
2016,82,7,0.014616,0.003654
2016,133,11,0.0787104,0.0196776
2016,168,12,0.278784,0.069696
2016,199,11,0.415224,0.103806
2016,252,12,0.155466,0.0388665
2016,293,8,0.06566400000000001,0.016416000000000004
2016,342,11,0.004968,0.001242
2017,109,7,0.061776,0.015444
2017,124,7,0.146016,0.036504
2017,124,8,0.1427328,0.0356832
2017,173,6,0.157392,0.039348
2017,199,7,0.186552,0.046638
2017,262,8,0.1491017142857143,0.03727542857142858
2017,297,10,0.05250763636363636,0.01312690909090909
2017,298,8,0.0473472,0.0118368
2017,312,9,0.014688,0.003672
2018,109,7,0.081972,0.020493
2018,131,12,0.075168,0.018792
2018,160,8,0.115992,0.028998
2018,214,10,0.1340928,0.0335232
2018,262,10,0.08208,0.02052
2019,113,7,0.06505920000000001,0.016264800000000003
2019,155,13,0.149616,0.037404
2019,197,7,0.167184,0.041796
2019,233,9,0.172368,0.043092
2021,112,12,0.0621216,0.0155304
2021,138,12,0.09072,0.02268
2021,173,7,0.1167264,0.0291816
2021,202,6,0.1355616,0.0338904
2021,265,11,0.1189234285714286,0.02973085714285715
2021,299,11,0.050976,0.012744
