year,doy,hour,mean,std
2014,167,6,-0.254664,-0.063666
2014,190,10,-0.28728,-0.07182
2014,224,7,-0.232848,-0.058212
2014,254,10,-0.312336,-0.078084
2014,254,11,-0.266544,-0.066636
2014,295,11,-0.07776000000000001,-0.019440000000000002
2015,98,10,-0.027648,-0.006912
2015,169,11,-0.215352,-0.053838
2015,202,6,-0.311904,-0.077976
2015,202,7,-0.264384,-0.066096
2015,252,7,-0.17064,-0.04266
2015,252,8,-0.18576,-0.04644
2015,284,8,-0.08078400000000001,-0.020196000000000002
2016,82,7,-0.016416,-0.004104
2016,133,11,-0.06703854545454545,-0.016759636363636362
2016,168,12,-0.07534080000000001,-0.018835200000000003
2016,199,11,-0.239112,-0.059778
2016,252,12,-0.2098902857142857,-0.052472571428571424
2016,293,8,-0.008011636363636361,-0.0020029090909090904
2016,342,11,0.002064,0.000516
2017,109,7,-0.111408,-0.027852
2017,124,7,-0.0520992,-0.0130248
2017,124,8,-0.14976,-0.03744
2017,173,6,-0.07724160000000001,-0.019310400000000002
2017,199,7,-0.1292344615384615,-0.03230861538461537
2017,262,8,-0.027888,-0.006972
2017,297,10,-0.073908,-0.018477
2017,298,8,-0.058104,-0.014526
2017,312,9,0.005508,0.001377
2018,109,7,-0.00288,-0.00072
2018,131,12,0.02106,0.005265
2018,160,8,0.0536976,0.0134244
2018,214,10,-0.07588800000000001,-0.018972000000000003
2018,262,10,-0.03707345454545455,-0.009268363636363637
2019,113,7,-0.06939000000000001,-0.017347500000000002
2019,155,13,-0.014616,-0.003654
2019,197,7,0.003456000000000001,0.0008640000000000003
2019,233,9,-0.130032,-0.032508
2021,112,12,-0.022248,-0.005562
2021,138,12,0.06304114285714287,0.015760285714285716
2021,173,7,-0.0963977142857143,-0.024099428571428574
2021,202,6,0.09134181818181819,0.022835454545454548
2021,265,11,-0.111384,-0.027846
2021,299,11,-0.01008,-0.00252
