year,doy,hour,mean,std
2013,121,8,0.00216,0.00054
2013,182,8,0.17928,0.04482
2013,182,9,0.133488,0.033372
2013,182,10,0.191376,0.047844
2013,182,11,0.285984,0.071496
2013,182,12,0.317952,0.079488
2013,204,9,0.18576,0.04644
2014,254,13,0.112968,0.028242
2014,295,12,0.085104,0.021276
2015,169,13,0.131544,0.032886
2015,202,8,0.169992,0.042498
2015,252,10,0.13824,0.03456
2015,284,11,0.155304,0.038826
2015,324,10,0.018576,0.004644
2016,82,10,0.0958176,0.0239544
2016,133,14,0.113742,0.0284355
2016,168,15,0.474948,0.118737
2016,199,14,0.400176,0.100044
2016,252,14,0.215568,0.053892
2016,293,10,0.0636768,0.0159192
2017,109,10,0.202176,0.050544
2017,124,9,0.272736,0.068184
2017,173,7,0.216432,0.054108
2017,199,8,0.3307680000000001,0.082692
2017,262,9,0.174384,0.043596
2017,298,10,0.023616,0.005904
2018,131,14,0.094824,0.023706
2018,160,9,0.085536,0.021384
2018,214,13,0.258696,0.064674
2018,262,13,0.147816,0.036954
2019,113,10,0.163404,0.040851
2019,155,16,0.402768,0.100692
2019,197,10,0.314316,0.078579
2019,233,10,0.237564,0.059391
2021,112,15,0.180576,0.045144
2021,173,10,0.189648,0.047412
2021,299,14,0.065088,0.016272
