year,doy,hour,mean,std
2013,121,8,0.00216,0.00054
2013,182,8,0.17928,0.04482
2013,182,9,0.133488,0.033372
2013,182,10,0.191376,0.047844
2013,182,11,0.285984,0.071496
2013,182,12,0.317952,0.079488
2013,205,12,0.316224,0.079056
2014,254,9,0.129168,0.032292
2014,295,10,0.066744,0.016686
2014,337,10,0.011232,0.002808
2015,169,11,0.143424,0.035856
2015,169,12,0.17064,0.04266
2015,202,9,0.260928,0.065232
2015,202,10,0.225936,0.056484
2015,283,13,0.14364,0.03591
2015,324,13,0.059184,0.014796
2016,82,13,0.049896,0.012474
2016,134,8,0.104706,0.0261765
2016,168,11,0.2457792,0.0614448
2016,201,13,0.146826,0.0367065
2016,252,8,0.229032,0.057258
2016,292,13,0.074034,0.0185085
2016,341,10,0.08424,0.02106
2017,109,11,0.220176,0.055044
2017,124,12,0.222552,0.055638
2017,172,8,0.297558,0.0743895
2017,199,7,0.255744,0.063936
2017,262,11,0.2421684,0.0605421
2017,312,9,0.006048,0.001512
2018,108,13,0.252288,0.063072
2018,131,12,0.276912,0.069228
2018,160,8,0.148464,0.037116
2018,214,10,0.171936,0.042984
2018,262,9,0.254664,0.063666
2019,155,13,0.2835,0.070875
2019,197,11,0.373464,0.093366
2019,233,9,0.424224,0.106056
2021,112,13,0.187812,0.046953
2021,299,13,0.2696544,0.0674136
