year,doy,hour,mean,std
2014,167,10,0.2747520000000001,0.06868800000000003
2014,191,7,0.24948,0.06237
2014,254,12,0.106272,0.026568
2014,294,8,0.070416,0.017604
2015,169,5,0.116856,0.029214
2015,202,8,0.219456,0.054864
2015,283,6,0.12744,0.03186
2015,324,12,0.034992,0.008748
2016,83,7,0.0374112,0.0093528
2016,134,11,0.125568,0.031392
2016,168,6,0.206928,0.051732
2016,168,7,0.207576,0.051894
2016,200,8,0.166752,0.041688
2016,200,9,0.294336,0.073584
2016,252,7,0.1934742857142857,0.04836857142857143
2016,292,6,0.08726400000000001,0.021816000000000002
2016,342,9,0.049536,0.012384
2017,109,11,0.066672,0.016668
2017,125,6,0.169992,0.042498
2017,171,7,0.2794422857142857,0.06986057142857142
2017,200,9,0.2503008,0.0625752
2017,200,10,0.273132,0.068283
2017,263,9,0.309258,0.0773145
2017,311,8,0.04428000000000001,0.011070000000000002
2018,108,6,0.222048,0.055512
2018,131,6,0.090864,0.022716
2018,159,6,0.167472,0.041868
2018,198,6,0.1761696,0.0440424
2018,213,9,0.152064,0.038016
2018,261,9,0.162972,0.040743
2018,261,10,0.16416,0.04104
2019,114,9,0.092664,0.023166
2019,155,7,0.2391552,0.0597888
2019,197,12,0.31158,0.077895
2019,231,8,0.297324,0.074331
2021,112,6,0.03240000000000001,0.008100000000000003
2021,138,7,0.064764,0.016191
2021,174,6,0.24264,0.06066
2021,201,9,0.46413,0.1160325
2021,235,6,0.541404,0.135351
2021,265,6,0.1747008,0.0436752
2021,299,7,0.162648,0.040662
